Speaker,word_unique,vowel,syllable_number,word_syllables,stress,syllable_stress,Moras,length,f0_reaper,f0_praat,intensity,raw_duration,duration,f1,f2
AA,hana1224.764,a,-2,2,primary,Primary Stressed,1,short,129.8459822,-0.34698713766504263,0.6103471126057318,65.529904,-2.7252486909096776,-0.665266864195704,-0.0147454268735183
AA,hana1224.764,a,-1,2,unstressed,Final Unstressed,1,short,NA,NA,-0.38356033342642687,38.764920000000004,-3.250239565030615,-0.781031975254938,0.364895588567628
LV,hana124.399795145735,a,-2,2,primary,Primary Stressed,1,short,167.39196,-0.24262704813762592,-0.03954464528590962,39.4563622554926,-3.2325599707900037,-0.444178511593068,0.46686555138962
LV,hana124.399795145735,a,-1,2,unstressed,Final Unstressed,1,short,158.00794425,-0.5176181644147881,-0.3863338270609964,59.6433382931707,-2.819372816588194,-0.8294281492233,0.566667923975219
LV,hana127.734601368439,a,-2,2,primary,Primary Stressed,1,short,205.2039094,0.6925005950769147,0.38080587807783045,45.8597218530343,-3.082168066703037,-0.281946796279266,0.381462510119575
LV,hana127.734601368439,a,-1,2,unstressed,Final Unstressed,1,short,164.222322333333,-0.6854345652135932,-0.859228165845204,69.870658992528,-2.6611094747672794,-0.97022251930291,0.149053133702929
SB,hana132.053255494994,a,-2,2,primary,Primary Stressed,1,short,150.043827714286,-0.5513080980528364,-0.21238388491336674,54.0681402632117,-2.9175101711638076,-0.775958024740169,0.332551135320951
SB,hana132.053255494994,a,-1,2,unstressed,Final Unstressed,1,short,146.946639857143,-0.6937126421857586,-0.6077336166271214,59.0453022763597,-2.829450294518511,-1.09358089906978,0.487392950164028
DK,hana1360.82527153272,a,-2,2,primary,Primary Stressed,1,short,NA,NA,1.2344508366526628,54.4017631468705,-2.9113587148573976,-0.180050237757548,0.0877648465788212
DK,hana1360.82527153272,a,-1,2,unstressed,Final Unstressed,1,short,129.8920335,-0.27707272232291263,0.6670642284805732,63.586476405362205,-2.7553544663819305,-0.431060713541665,0.187562746730078
DK,hana1366.204,a,-2,2,primary,Primary Stressed,1,short,129.325516,-0.3073642940388642,0.34009567461869095,38.1518858430354,-3.2661800901526896,-0.515806480179894,0.207945119510989
DK,hana1366.204,a,-1,2,unstressed,Final Unstressed,1,short,187.883987375,1.2109751053227833,0.4458796185151816,97.5847936540504,-2.327033600426489,-0.671022690209191,0.137492430493642
DK,hana1394.52805988487,a,-2,2,primary,Primary Stressed,1,short,198.985576625,2.1848314655244736,1.7729872783075262,49.9999999999545,-2.9957322735549012,-0.357267286229857,0.131885080800945
DK,hana1394.52805988487,a,-1,2,unstressed,Final Unstressed,1,short,210.0468322,2.191180971923392,1.3690849470663793,43.9383364446257,-3.1249680724459266,-0.580132031451896,0.315092769686557
DK,hana1555.55796334349,a,-2,2,primary,Primary Stressed,1,short,149.0909088,0.2800948118126713,0.3112455081014677,60.8995518025495,-2.798529463857415,-0.428595442612583,0.195401993648288
DK,hana1555.55796334349,a,-1,2,unstressed,Final Unstressed,1,short,108.823228,-1.00166339338866,-1.073562484725326,57.4318123481134,-2.8571569070883904,-0.719143132966165,0.304918448166663
HM,hana161.4679,a,-2,2,primary,Primary Stressed,1,short,136.484834,0.29047268146042293,0.5009620889905804,90.7506069056581,-2.399640118193885,-0.323258079045779,0.227060205505826
HM,hana161.4679,a,-1,2,unstressed,Final Unstressed,1,short,127.4135556,-0.5417911548354043,0.9600002391801716,91.5247125800249,-2.3911462603246645,-0.588176429540527,0.132805550012861
AA,hana1628.102,a,-2,2,primary,Primary Stressed,1,short,NA,NA,1.0327577771693999,40,-3.2188758248682006,-0.576024138213706,0.272242028829917
AA,hana1628.102,a,-1,2,unstressed,Final Unstressed,1,short,NA,NA,0.5606517403041232,37.835716,-3.2745017547382504,-0.826891539218504,0.524383327124363
HM,hana168.6703,a,-2,2,primary,Primary Stressed,1,short,145.138973888889,0.6274391762754401,0.9182694982538446,60.0000000000023,-2.813410716759998,-0.361221847922153,0.285274143657135
HM,hana168.6703,a,-1,2,unstressed,Final Unstressed,1,short,244.7481995,0.11236824002238746,-0.14586439536748105,44.8650361747127,-3.1040964919310325,-0.479283647508289,0.264093531713306
