"","Speaker","filename","word","word_unique","vowel","syllable_number","word_syllables","stress","syllable_stress","Moras","length","f0_reaper","f0_praat","intensity","duration","log_duration","f1","f2","syll_length"
"98","JM","KLH016b_0619","hoʻokahi","hoʻokahi289.932086680204","a","-2",4,"primary","Primary Stressed",1,"short",122.488033777778,123.580945042732,75.1,73.9701631079583,4.30366181065289,-0.64668577527443,0.326586405278757,"-2.short"
"99","DK","KLH063c_0723","hoʻokahi","hoʻokahi320.401853322366","o","-4",4,"secondary","Secondary Stressed",1,"short",133.296533625,266.657225889428,78.7,57.2382666712201,4.04722267245512,-0.650957373604784,-0.133553814317415,"-4.short"
"100","DK","KLH063c_0725","hoʻokahi","hoʻokahi320.401853322366","a","-2",4,"primary","Primary Stressed",1,"short",158.149241,147.098660306311,80,46.6338617459314,3.84232692415996,-0.755754688420464,0.221028175958669,"-2.short"
"101","DK","KLH063a_0776","hoʻokahi","hoʻokahi374.437","o","-4",4,"secondary","Secondary Stressed",1,"short",150.290863,146.666629794908,72,38.011039773437,3.63787663788712,-0.872730407438031,-0.175028353578724,"-4.short"
"102","DK","KLH063a_0778","hoʻokahi","hoʻokahi374.437","a","-2",4,"primary","Primary Stressed",1,"short",162.667654857143,161.626686274274,74.2,56.2819733849551,4.03037429533003,-0.698709094514892,0.324475414633981,"-2.short"
"103","HM","KLH021a_0703","hoʻokahi","hoʻokahi441.074730339693","o","-4",4,"secondary","Secondary Stressed",1,"short",NA,NA,67.5,55.7302532515109,4.02052314582934,-1.0335998499503,-0.536850219302346,"-4.short"
"104","HM","KLH021a_0705","hoʻokahi","hoʻokahi441.074730339693","a","-2",4,"primary","Primary Stressed",1,"short",125.285412428571,110.804558741574,71.9,56.9373661119812,4.04195182352641,-0.667259536334363,0.344114643680069,"-2.short"
"105","HM","KLH021a_0734","hoʻokahi","hoʻokahi474.061560195046","o","-4",4,"secondary","Secondary Stressed",1,"short",108.699013857143,109.70487700818,73.7,55.8079751533,4.02191678306888,-1.1970865409704,-0.267988611223317,"-4.short"
"106","HM","KLH021a_0736","hoʻokahi","hoʻokahi474.061560195046","a","-2",4,"primary","Primary Stressed",1,"short",140.368245555556,131.310483148984,78.3,64.2306260572809,4.16248013833851,-0.678184692014584,0.451979309963656,"-2.short"
"107","RM","KLH014b_0110","hoʻokahi","hoʻokahi50.4815","o","-4",4,"secondary","Secondary Stressed",1,"short",200.454544,207.261871670146,73.45,43.7423932350214,3.77831772877287,-0.808369145485886,-0.306328247548726,"-4.short"
"108","RM","KLH014b_0112","hoʻokahi","hoʻokahi50.4815","a","-2",4,"primary","Primary Stressed",1,"short",233.9974325,238.542716877954,77.1,50.0046811593435,3.91211662423264,-0.371486023251735,0.247185064406727,"-2.short"
"109","RM","KLH014b_0129","hoʻokahi","hoʻokahi55.8103776517291","o","-4",4,"secondary","Secondary Stressed",1,"short",247.752808,252.159721307579,80.5,38.218431233993,3.64331789228666,-0.914200000384555,-0.239351139582352,"-4.short"
"110","RM","KLH014b_0131","hoʻokahi","hoʻokahi55.8103776517291","a","-2",4,"primary","Primary Stressed",1,"short",335.3756635,332.956378022319,75.4,39.9999999999991,3.68887945411391,-0.470688479926801,0.343939062384722,"-2.short"
"111","RM","KLH014b_1004","hoʻokahi","hoʻokahi598.375177928228","o","-4",4,"secondary","Secondary Stressed",1,"short",198.972458,192.244189409074,71.2,48.6499874883748,3.88465155145572,-0.834994501009814,-0.223211376392719,"-4.short"
"112","RM","KLH014b_1006","hoʻokahi","hoʻokahi598.375177928228","a","-2",4,"primary","Primary Stressed",1,"short",213.898374,204.611918027919,69.1,56.9795886675593,4.04269311015215,-0.408976632167233,0.317837497349277,"-2.short"
"113","AA","KLH057a_1910","hoʻokahi","hoʻokahi811.0070394","o","-4",4,"secondary","Secondary Stressed",1,"short",NA,NA,75.95,30.80349,3.42762799524856,-0.897361958245794,-0.220166777579194,"-4.short"
